satellite, Count: 887, Level 1
earth science > oceans > aquatic sciences > fisheries, Count: 1, Level 4

earth science > atmosphere > clouds > cloud properties > cloud top height, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > non-methane hydrocarbons/volatile organic compounds, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > formaldehyde, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > nitrogen compounds > nitric oxide, Count: 1, Level 5

earth science > atmosphere > air quality > carbon monoxide, Count: 1, Level 4

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > formic acid, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > atmospheric carbon dioxide > carbon dioxide surface, Count: 1, Level 6

earth science > atmosphere > air quality > volatile organic compounds, Count: 1, Level 4

earth science > atmosphere > air quality > tropospheric ozone, Count: 1, Level 4

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > hydrogen cyanide, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > methyl cyanide, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > oxygen compounds > atmospheric ozone > ozone surface, Count: 1, Level 6

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > atmospheric carbon monoxide > carbon monoxide surface, Count: 1, Level 6

earth science > atmosphere > atmospheric chemistry > trace elements/trace metals, Count: 1, Level 4

earth science > biosphere > vegetation > biomass, Count: 1, Level 4

earth science > biosphere > ecosystems > marine ecosystems > benthic, Count: 1, Level 5

earth science > atmosphere > clouds > cloud properties > cloud ceiling, Count: 2, Level 5

earth science > biosphere > ecosystems > aquatic ecosystems > plankton > phytoplankton, Count: 3, Level 6

earth science > biosphere > ecosystems > aquatic ecosystems > plankton > zooplankton, Count: 3, Level 6

earth science > atmosphere > atmospheric electricity > electric field, Count: 1, Level 4

earth science > human dimensions > boundaries > administrative divisions, Count: 1, Level 4

earth science > biological classification > animals/vertebrates > mammals, Count: 1, Level 4

earth science > climate indicators > biospheric indicators > species migration, Count: 1, Level 4

earth science > biosphere > ecological dynamics > species/population interactions > migratory rates/routes, Count: 1, Level 5

earth science > biological classification > animals/vertebrates > mammals > even-toed ungulates > deer/moose, Count: 1, Level 6

earth science > atmosphere > weather events > stability/severe weather indices > lifted index (li), Count: 1, Level 5

earth science > atmosphere > atmospheric radiation > albedo, Count: 1, Level 4

earth science > atmosphere > atmospheric winds > wind dynamics > vorticity, Count: 1, Level 5

earth science > land surface > soils > soil color, Count: 1, Level 4

earth science > oceans > ocean winds > surface winds, Count: 1, Level 4

earth science > atmosphere > clouds > cloud types, Count: 1, Level 4

earth science > oceans > salinity/density > salinity, Count: 1, Level 4

earth science > oceans > ocean chemistry > ammonia, Count: 1, Level 4

